# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:54 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 161.64559891344263 AND 162.09615891344262
#           AND p.dec BETWEEN 15.008631753538266 AND 15.459191753538265
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
162.0880214452,15.4426333468743,15.97993,14.60313,13.83771,15.76844,13.56376,6,0.06500816,0.08540337,0.7895,1.457828,0.03066253,0.9998695,0.9999571,0.9052131,0.9138427,0.9997131,39.64899,37.10271,134.5017,142.5608,68.1624,0.07364891,0.1318955,0.934321,1.236223,0.03394185,0.9998407,0.9999841,0.9608619,0.968522,0.999907,39.63093,37.14724,130.0195,128.0101,68.15192
161.667444245177,15.1999292827618,15.59761,14.36524,13.91299,13.91933,13.70084,6,0.005560267,0.09172648,0.5877802,0.8905561,0.06379043,0.05746561,0.517889,0.814148,0.8855545,0.6735688,43.05644,39.02037,141.4904,154.6897,129.7468,0.08576982,0.1450584,0.6278524,0.8341182,0.07848397,0.116333,0.6497756,0.956506,0.9999743,0.7148958,8.604519,39.03757,52.67894,54.54112,129.7229
161.832421899893,15.2807923975549,15.65314,14.53078,13.95551,13.85118,13.74698,6,0.138799,0.07011561,0.7650505,0.9659336,0.003482685,0.6584053,0.7799107,0.9112694,0.9319795,0.7499925,11.53329,38.74511,148.2347,146.1416,36.45826,0.2050014,0.1187713,0.8198943,0.9554792,0.006450216,0.6452531,0.7499563,0.9990395,0.9434281,0.7003238,11.65943,39.02436,54.23486,165.3399,36.57123
161.82227824069,15.4236888825704,15.82312,14.55912,14.16146,14.01813,13.99465,6,0.04499034,0.09660742,0.02689154,0.004818783,0.009375388,0.9293156,0.2499795,0.3998729,0.9996535,0.9853233,40.77782,42.6439,68.14902,36.13546,70.0022,0.05170003,0.1486244,0.04671316,0.006409395,0.01393121,0.9358076,0.2999352,0.2499757,0.999242,0.899994,40.62597,42.60201,68.51169,36.13917,69.79257
161.851610941911,15.1010465539492,15.67544,14.64032,14.23207,14.08145,14.02642,6,2.010388E-05,0.1229992,0.03682919,0.0754696,0.06443801,0.9462667,0.968644,0.3999858,0.849987,0.99969,104.9703,70.50232,68.64448,67.51372,104.9609,0.0002387069,0.1963934,0.06143414,0.1263146,0.06674252,0.8440407,0.9491886,0.2499945,0.8615016,0.9997597,104.9963,70.17238,68.48802,68.51717,104.9454
161.929751791202,15.3424704264536,15.87014,14.61741,14.25083,14.13026,14.12173,6,0.1243059,0.079592,0.0657628,0.02636504,0.007656061,0.4500502,0.420835,0.09971357,0.4432563,0.9997856,33.62428,62.79919,-6.744442,102.3199,68.31937,0.1771806,0.1287979,0.1141805,0.03998462,0.009714652,0.5496328,0.5499936,0.08932944,0.3718663,0.9997107,34.36476,62.54541,1.487089,102.2907,68.29501
161.900165978014,15.2986333378073,16.72021,14.92333,14.29436,14.08254,13.99468,6,0.09712833,0,0.04132909,0.01180424,0.008800426,0.8064593,0.8500589,0.8998538,0.998571,0.8999981,36.4704,37.7765,40.59046,35.74588,69.01787,0.1435494,3.94561E-05,0.0464161,0.003773616,0.01132453,0.8325932,0.6751419,0.8999465,0.7495142,0.8999843,36.49284,37.77697,40.38938,35.87112,68.95038
161.728803198936,15.1035071096331,17.00271,15.04243,14.2971,14.03069,13.90913,6,2.208243E-05,0.02692588,0.01780519,0.06036684,0,0.6781219,0.9500465,0.9497626,0.3999591,0.9255814,41.09078,38.67424,38.18567,69.6866,35.97969,0.0001019883,0.03486971,0.01984703,0.08867671,0,0.7433404,0.9997454,0.9997371,0.3999915,0.6999612,41.10043,38.56923,37.90513,69.74996,35.98102
161.653073352236,15.42262753052,15.8029,14.69942,14.30989,14.18038,14.1489,6,3.097045E-06,0.08023106,0.0001934617,0.02885077,0.001886948,0.9081582,0.5500002,0.7771482,0.8699912,0.983076,41.30363,42.66344,57.20906,70.34757,68.89441,0.01567014,0.109095,0.005844151,0.03328642,0.002620066,0.9997954,0.7766211,0.499896,0.8999209,0.9545173,41.21822,40.71474,129.8063,70.20033,68.91441
161.754780267735,15.2121560518526,16.73678,14.88179,14.32827,14.09692,13.73972,6,0.05557023,0.010756,0.4039642,0.4294,0.004040209,0.3999842,0.8999306,0.981549,0.9996703,0.4547264,8.330254,38.95906,155.8711,55.13304,93.79186,0.08997685,0.01254065,0.5004349,0.5259844,0.005528967,0.2999298,0.899994,0.9375144,0.9380654,0.4753009,8.405058,38.88919,-6.789404,56.52429,93.85535
