# SOURCE: http://skyserver.sdss.org/dr12/en/tools/search/x_sql.aspx
# TIME: Fri Apr 26 00:02:47 2019
# QUERY:
#   
#           SELECT ALL
#           p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   
#           p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,
#           p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,
#           p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,
#   
#           p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,
#           p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,
#           p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z 
#           FROM PhotoPrimary AS p
#           WHERE
#           p.ra BETWEEN 203.60844267931975 AND 204.05900267931975
#           AND p.dec BETWEEN 40.775866440905205 AND 41.2264264409052
#           AND p.type = 6
#           ORDER by p.r
#           
#Table1
ra,dec,u,g,r,i,z,type,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
203.765574393677,40.77819508601,16.07886,14.46893,13.9664,13.78018,13.71595,6,6.113892E-05,0.09561924,0.1002144,0.1248486,0.000530203,0.9225578,0.8998898,0.8999864,0.8999835,0.7685232,82.76355,116.8302,86.67747,86.79672,87.21892,0,0.1408423,0.1672838,0.1890243,0.0001356376,0.9499985,0.9499289,0.8096416,0.8997943,0.5766976,82.7123,116.8028,87.87836,86.8127,87.21252
203.850971731665,41.0376386238176,17.24222,15.0995,14.00526,13.7658,13.46814,6,0.07084666,2.063924E-08,0.6603584,1.278355,0.000110504,0.1992299,0.7500026,0.9997663,0.954172,0.955366,116.42,115.7594,125.557,122.9719,145.9983,0.1165549,4.537738E-05,0.8106602,1.270813,0.0002587568,0.250025,0.606905,0.9691194,0.9997101,0.9252306,116.4617,115.6792,192.5732,131.2434,146.0111
203.821242844398,40.7846549940418,15.56473,14.43054,14.07513,13.8932,13.83527,6,0.002694104,0.1152608,0.1059141,0.1148287,0.04807451,0.9102405,0.9606678,0.8999594,0.8154674,0.7394814,84.60311,150.0112,117.1506,87.70335,86.65443,0.00493961,0.1709373,0.1748551,0.1731276,0.05802573,0.9497609,0.9601046,0.8764477,0.8478701,0.7578709,84.66544,149.8641,116.4817,87.65001,86.66258
203.925603687071,41.1358844404026,15.62969,14.52016,14.1696,14.39109,14.05909,6,0.05220293,0.001274202,0.05057629,0.5988781,0,0.3010532,0.6982507,0.9381177,0.9021975,0.9000038,141.0142,115.1495,96.7691,34.90588,101.9764,0.04942768,0.004967051,0.05082614,0.7545263,5.39987E-05,0.6998795,0.9394417,0.9998674,0.989335,0.7023324,141.2399,115.2324,97.18388,135.6579,101.872
203.78153098506,41.0838034557622,17.90028,15.56855,14.23176,12.99151,12.1502,6,0.1414022,1.064712E-05,0.3813264,3.323226,0.02380768,0.1228673,0.813661,0.9462515,0.9377884,0.750766,139.4651,116.375,137.8938,62.8111,145.4659,0.2217509,1.869841E-07,0.4967265,1.916136,0.02063267,0.09088695,0.6000097,0.7998611,0.9997471,0.899909,138.2719,116.3665,105.4679,127.5385,145.1255
203.724835145895,41.0233832025175,16.47659,14.99986,14.30751,14.11013,13.92313,6,0.05675583,0.05460012,0.7001266,1.425284,0.002422698,0.7595184,0.7499817,0.9997246,0.9752963,0.9495968,141.4665,116.3715,123.1748,116.7019,144.7867,0.06908769,0.07769378,0.8502418,1.275988,0.001007912,0.7603135,0.7498925,0.9996656,0.9999341,0.9004775,141.9792,116.3852,133.6458,131.0634,144.6367
203.898565220605,41.1650364503173,15.82439,14.64018,14.35587,14.49559,14.0706,6,0.05003808,0.001929775,0.2010446,0.2959977,8.912052E-05,0.9996762,0.1989299,0.9035792,0.9809728,0.3252106,84.61403,79.36915,90.9172,120.8378,151.1215,0.05523189,0.001291191,0.2820411,0.4051341,9.851205E-06,0.9769222,0.1619668,0.9314243,0.9888681,0.3064709,84.79261,79.43512,89.19916,122.1509,151.1437
203.971808998672,40.8032021158636,16.12406,14.45923,14.47382,14.43729,13.47098,6,0.02004057,0.08847678,0.6445342,0.7489067,0.004723534,0.9999889,0.9998009,0.9695452,0.992233,0.3611031,117.9832,79.34401,71.26459,79.66465,116.8455,0.02418503,0.1573483,0.819411,0.9448767,0.005527017,0.9997129,0.9496907,0.9256545,0.8902271,0.4256931,117.9909,149.4426,91.73022,116.7647,116.8673
203.860951970885,40.9612989331309,17.10407,15.23647,14.53525,14.72912,14.16484,6,0.0701083,0.009331815,0.01514008,0.7584784,3.172123E-05,0.1000214,0.8517648,0.5494819,0.9832123,0.7022794,113.526,115.4162,57.67272,145.6139,147.2636,0.1163957,0.01100629,0.03188405,0.9461491,6.670529E-06,0.249358,0.8999879,0.400003,0.9607244,0.4840832,113.4672,115.446,57.44984,188.7228,147.2851
203.719791352425,41.1951947761707,17.12128,15.29757,14.6234,15.07597,14.31217,6,6.750765E-05,0.0004162652,0.09594909,0.3292969,0.01929715,0.2304876,0.2180423,0.9956928,0.9402273,0.6998315,82.38569,150.4165,118.9202,87.43407,148.6413,0.005060135,0.0001980834,0.1391513,0.4408767,0.02679927,0.6026126,0.4962135,0.990815,0.9252835,0.6832209,118.789,150.3748,118.8516,84.4194,148.2468
