#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,deVRad_u,deVRad_g,deVRad_r,deVRad_i,deVRad_z,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,expRad_u,expRad_g,expRad_r,expRad_i,expRad_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,expPhi_u,expPhi_g,expPhi_r,expPhi_i,expPhi_z
36.3949767959613,-5.88784866267227,18.68049,16.75492,16.0011,15.73628,15.60285,6,1.213623,1.196282,1.104799,1.020219,1.033684,1.401834,1.349267,1.203419,1.245393,1.202843,0.0008125113,0.03829009,0.0003898972,0.03725242,0,0.601392,0.9244325,0.6801136,0.9997889,0.6499938,67.49023,71.9136,65.08202,134.5197,107.7053,0.008996036,0.0444128,1.794337E-05,0.04328539,0.0006371383,0.1981724,0.9332881,0.6568224,0.9997956,0.501634,67.69456,71.84364,64.9657,134.3797,36.71541
36.4463670227468,-5.84097548910079,16.62748,15.33914,16.01926,14.71137,14.61659,6,1.216737,1.202072,1.142754,1.025933,1.037081,1.571096,1.502753,2.09919,1.429082,1.422896,0.005997685,0.06322121,0.6066036,0.02999704,0.06576377,0.7425089,0.701973,0.9139277,0.960861,0.6432183,104.5357,70.24914,95.43296,65.03568,42.6598,0.006994488,0.0757728,0.7960009,0.03847448,0.1034393,0.7373749,0.7499776,0.8716698,0.9798642,0.7980041,104.5769,70.20902,103.4207,64.71619,42.37579
36.542758229904,-5.92966501115164,19.27118,17.03019,16.12304,15.75683,15.55045,6,1.21721,1.164363,1.089965,0.9570332,0.973034,1.401064,1.325162,1.263432,1.223528,1.233231,0.0007866932,0.05916435,0.06402039,0.01420327,0,0.2015014,0.3997272,0.4058104,0.9997188,0.9000158,68.55268,69.88925,104.3492,63.57133,70.97668,0.005338691,0.08806666,0.08966429,0.02040174,6.950964E-05,0.07294334,0.3585519,0.4872924,0.9694296,0.7364507,68.50276,69.89266,104.2369,134.0784,70.99276
36.4626982699223,-5.92437499920147,16.76919,15.40155,16.28537,14.60369,14.34459,6,1.215158,1.186841,1.091332,0.9812122,1.014281,1.625871,1.498489,2.342318,1.439795,1.444541,0.06621123,0.06342863,0.9467651,0.009269068,0.004901129,0.9998698,0.9240322,0.9258278,0.9416916,0.7499605,105.7787,71.48504,80.15826,64.45394,71.3199,0.07920928,0.06917237,1.148206,0.01611229,0.009669287,0.9998488,0.8999863,0.8577095,0.7003592,0.9078987,105.8353,71.06657,99.32285,134.0063,71.35735
36.3930867390211,-5.81897066578872,20.25622,17.60923,16.29101,15.29135,14.73766,6,1.21287,1.180644,1.146311,1.059477,1.030504,1.701663,1.326002,1.22368,1.265348,1.25755,0.3935932,0.06311588,0,0.03664199,0.06713751,0.05,0.8467038,0.7499613,0.9764086,0.9512405,68.79143,40.96663,64.09332,65.12852,71.46055,0.2765964,0.06991671,0.001204129,0.07998276,0.1159555,0.1266771,0.8837974,0.5810692,0.9999119,0.9856247,70.60809,40.94471,64.22778,64.50857,37.43863
36.4275384288298,-5.90438599032142,18.27467,16.91664,16.38892,16.19709,16.10888,6,1.215046,1.19683,1.100471,1.00237,1.031862,1.372407,1.358043,1.22407,1.240475,1.222181,0.04508571,0.06904232,0.0008100374,0.02781083,0.03209762,0.9516061,0.9266281,0.6096907,0.9915534,0.913623,70.02975,38.89719,99.27502,63.76314,37.90152,0.04599469,0.08152553,0.0006045966,0.03153723,0.03596693,0.9996932,0.9547932,0.5588951,0.9983717,0.9540884,105.7433,38.76138,99.24487,63.53711,37.65628
36.3496742764736,-5.95508422189123,18.82502,17.10632,16.4361,16.19796,16.04923,6,1.219226,1.184009,1.05657,1.013005,0.9732616,1.386904,1.306772,1.190158,1.229728,1.218646,0.07411728,0.0004563195,0.001879388,0.04219721,0.02982786,0.9385194,0.7110391,0.7591192,0.3999676,0.2492754,101.3639,36.68565,134.1813,131.7114,70.47932,0.1031731,0.001458401,0.01527087,0.08911312,0.02964392,0.9591449,0.595893,0.6705554,0.1496509,0.4360949,101.5551,36.78962,132.8621,131.6794,70.48557
36.3942562249048,-5.86454807444154,18.46598,17.03928,16.46881,16.24158,16.11694,6,1.213473,1.193373,1.118655,1.03068,1.039146,1.34561,1.350889,1.216044,1.255798,1.247458,0.01537003,0.06416509,0.001630676,0.05722079,0.01865216,0.6269911,0.7500256,0.6692582,0.9905776,0.6958048,39.01113,70.42803,65.99371,63.92431,38.92601,0.01704026,0.07813904,0.001674436,0.06599143,0.02619547,0.5734588,0.7851624,0.7720761,0.999178,0.8010446,38.97756,70.24501,65.80263,63.61141,38.90613
36.3949891411447,-5.96219213500621,18.58708,17.0689,16.53957,16.38923,16.32612,6,1.243536,1.182388,1.057359,0.9989197,0.9790748,1.374021,1.321559,1.198823,1.225315,1.222791,0.07580645,0.02626705,0.004089758,0.01360765,0.02089923,0.9998778,0.9188954,0.7032238,0.9997484,0.2499881,64.35976,37.85096,98.69383,59.80507,70.48756,0.1331216,0.03072979,0.004468953,0.0175001,0.02085715,0.9998775,0.9417313,0.7025293,0.9998664,0.3990176,65.07832,37.81807,98.6927,59.65324,70.48615
36.3918131482438,-5.96470204955076,17.76883,16.86042,16.62505,16.55113,16.53086,6,1.24309,1.183291,1.055128,0.9978289,0.9771649,1.44887,1.335447,1.205669,1.241385,1.210314,0.0658463,0.07669894,0.0196218,0.005310613,0.01724648,0.9997565,0.6884136,0.399922,0.8511724,0.7000833,104.644,70.03001,99.99752,61.60509,71.00364,0.08076152,0.1270332,0.03327841,0.006218215,0.02175268,0.9999774,0.7517691,0.300019,0.9639367,0.7540143,104.465,69.65851,99.99355,61.39137,71.0143
36.4598247399168,-5.97583479520251,16.10551,14.71373,16.8143,15.73203,13.94698,6,1.229441,1.156432,1.048758,0.961051,0.9774848,1.516352,1.41338,2.625655,2.007995,1.518157,0.009192315,0,1.167359,0.601502,0.05300066,0.3594239,0.8499892,0.9417097,0.8665429,0.6807608,36.30521,109.1448,107.9277,78.40149,70.91899,0.0005727676,0.005311009,1.221613,0.8513139,0.06228153,0.1424436,0.690174,0.8594737,0.8828825,0.7344502,106.9622,38.23663,96.20238,73.57619,70.93591
36.5237095976405,-5.84496734423372,25.08255,25.88679,16.83408,24.89731,22.97335,6,1.205963,1.196665,1.154878,0.999108,0.995729,-9999,-9999,15.06045,-9999,-9999,0.0366105,0.03679677,29.66905,0.03385907,0.03629345,0.3034689,0.3466657,0.1548857,0.6106452,0.4230005,102.069,102.4918,175.5458,131.6405,131.6659,0.03608787,0.03617648,12.2981,0.03341319,0.03628316,0.3356578,0.3567638,0.2139096,0.6106784,0.422078,133.5934,102.5021,174.6555,131.8938,132.1597
36.3944339395046,-5.82482801655293,18.80756,17.49978,16.9757,16.7671,16.66194,6,1.213189,1.183429,1.142917,1.055012,1.031984,1.370289,1.374898,1.240983,1.282992,1.238758,1.229077E-05,0.09394776,0.03256555,0.06796694,0.08930071,0.7925503,0.7718621,0.6051297,0.9998904,0.9532478,36.7849,69.60094,131.5229,62.31952,39.06723,0.0004865641,0.1414759,0.03734282,0.08489123,0.1388376,0.6032022,0.8191953,0.5784381,0.9998321,0.9750625,36.81135,69.55058,131.5396,133.916,38.6162
36.4469792046975,-5.92745434627122,18.92363,17.53916,16.99913,16.80501,16.70638,6,1.213986,1.188302,1.087539,0.9861056,1.015261,1.358914,1.32776,1.236029,1.23572,1.211408,0.139599,0.04076405,0.04875575,0.01559609,0.02263599,0.3191961,0.9716072,0.4458779,0.9802445,0.9408134,71.95219,71.96961,102.2675,63.4561,37.78838,0.2080749,0.04631687,0.08474231,0.01870587,0.02825601,0.4572973,0.9808427,0.2499877,0.9900903,0.9363324,72.9867,72.02928,102.2784,63.28542,37.98775
36.4102265311056,-5.96510966571724,20.40175,18.05709,17.05063,16.68479,16.4677,6,1.218347,1.184438,1.057253,0.9914809,0.9855758,1.626361,1.304099,1.181538,1.216213,1.227138,0.01068659,0.001418945,0,8.342072E-05,0.05541184,0.1617797,0.7178604,0.7499232,0.9444687,0.1494108,102.7118,37.34288,64.34868,62.4584,71.4523,0.001351293,0.003124108,0.0001003785,0.00989705,0.06498425,0.2309258,0.6491855,0.6636623,0.570819,0.3999542,102.9194,37.54807,64.34703,63.01998,71.44104
36.5046534874896,-5.95892002984457,19.1495,17.7616,17.22814,17.03693,16.95257,6,1.217416,1.151477,1.062229,0.95218,0.9820288,1.339002,1.359397,1.2751,1.253907,1.290387,0.07870308,0.08263028,0.06119007,0.01440959,0.02922232,0.06728373,0.8784922,0.525682,0.9998234,0.9764876,73.33444,71.035,103.5242,64.42593,36.19304,0.1337836,0.1297223,0.07740083,0.01794468,0.03453188,0.1306013,0.9125813,0.6104776,0.9998708,0.9903683,73.4473,71.03352,103.3835,64.26369,36.08824
36.4410569109196,-5.84853696906196,21.24029,18.563,17.30093,16.76608,16.48775,6,1.216808,1.201863,1.137497,1.0235,1.039287,1.166488,1.338741,1.233718,1.220836,1.235989,9.898259E-05,3.425744E-05,0.04976593,0.02749204,0.07266223,0.9120308,0.8475349,0.05,0.9267098,0.7502152,73.5898,107.5217,101.3029,99.05417,40.92181,0.000695194,0.002365273,0.02798366,0.02704726,0.1090868,0.1956711,0.5944898,0.3973641,0.9950151,0.8263623,73.63762,107.1049,101.3264,65.59135,41.12794
36.4645117076032,-5.90646359382534,21.45905,18.77076,17.44905,16.86988,16.53645,6,1.215697,1.19353,1.10452,0.9883651,1.023873,2.053737,1.320916,1.218295,1.235071,1.270502,1.040325,6.324585E-05,0.05913291,0.01597999,0.02203585,0.4975269,0.8261228,0.05,0.999728,0.399956,55.13293,37.77434,101.4878,133.4694,71.33437,0.259162,0.0002915495,0.06182982,0.01997234,0.03265123,0.1016939,0.618476,0.3499778,0.9999924,0.3502015,37.03179,37.78489,101.5223,133.405,71.33301
36.4297127705291,-5.85136213620481,18.93065,17.93278,17.57436,17.4372,17.39618,6,1.216578,1.200245,1.133694,1.025671,1.041092,1.565659,1.372584,1.23716,1.223549,1.318512,0.001392451,0.08958494,0.03033888,0.01731373,0.06334586,0.7697034,0.6171691,0.4491574,0.9750418,0.6808141,70.43677,68.2691,102.9866,64.95132,41.94444,5.308548E-05,0.1378658,0.08017407,0.02037216,0.1271791,0.8285969,0.7092997,0.1292637,0.9865445,0.0999997,70.36315,68.30225,103.0141,64.73715,65.41829
36.4293160798918,-5.9502949339164,21.28813,18.79972,17.58999,17.09329,16.82918,6,1.21664,1.183426,1.069543,0.9860324,1.000259,1.638543,1.373542,1.239385,1.236811,1.244553,0.06515356,0.02381412,0.0002201628,0.01231784,0.009404019,0.1502953,0.9116342,0.7796631,0.9998788,0.9996706,95.62381,37.59476,100.1996,96.07478,71.69949,0.1148165,0.03039585,0.0005882223,0.0003539547,0.01208819,0.1479142,0.9084624,0.7163429,0.564301,0.9997289,95.53046,38.01189,100.2605,95.67274,71.70375
36.3565186831802,-5.95072667897138,19.31155,18.08471,17.59505,17.40056,17.29694,6,1.220346,1.182667,1.059427,1.013853,0.9758953,1.536077,1.32378,1.197445,1.215677,1.143358,0.0001013174,0.007486378,0.0007194648,0.0387806,0.05701077,0.5478567,0.6161042,0.6708691,0.3181576,0.05438504,103.5276,37.56839,132.6152,131.5581,71.02367,5.1606E-05,0.0002797936,0.007069621,0.04900044,0.05838558,0.8812858,0.7387599,0.4999906,0.4000036,0.2999169,103.6548,107.6013,132.015,131.5927,71.03078
36.4781506425213,-5.80180041192585,21.50294,18.80148,17.65194,17.1477,16.84455,6,1.210407,1.19572,1.165992,1.035991,1.010091,1.699032,1.35037,1.316466,1.319664,1.255818,0.003155168,0.02638942,0.1197293,0.1080239,0.1535248,0.05,0.8528655,0.2577351,0.560336,0.5065162,101.7155,70.62707,105.8945,104.7454,80.2902,0.0009094678,0.02974466,0.1713083,0.1504419,0.20653,0.1361746,0.8998752,0.3885969,0.7097784,0.6176504,101.7203,70.61826,105.6125,103.7036,78.35621
